ID,NOMBRE,APELLODO,PRECIO,CODIGO DE VUELO,TIPO PASAJERO
1000,Saleem,Torres,20000.000000,MM0987B,EconomyClass
999,Tamarra,Navarro,15000.000000,MM0987B,EconomyClass
998,Jaye,Gutiérrez,25000.000000,MM0987B,EconomyClass
997,De witt,Alonso,12000.000000,MM0987B,EconomyClass
996,Atalanta,Romero,37000.000000,MM0987B,EconomyClass
995,Maxi,Muñoz,18000.000000,MM0987B,EconomyClass
994,Raquela,Álvarez,12000.000000,MM0987B,EconomyClass
993,Angelia,Moreno,50000.000000,MM0987B,EconomyClass
992,Trenna,Ramos,10000.000000,MM0987B,EconomyClass
991,Zaccaria,Vázquez,33000.000000,MM0987B,EconomyClass
990,Chiarra,Domínguez,18000.000000,MM0987B,EconomyClass
989,Wandie,Torres,25000.000000,BA2491A,EconomyClass
988,Dawn,Navarro,37000.000000,BA2491A,EconomyClass
987,Mohammed,Gutiérrez,42000.000000,BA2491A,EconomyClass
986,Ferd,Alonso,25000.000000,BA2491A,EconomyClass
985,Erna,Romero,33000.000000,BA2491A,EconomyClass
984,Pebrook,Muñoz,33000.000000,BA2491A,EconomyClass
983,Josi,Álvarez,12000.000000,BA2491A,EconomyClass
982,Sharai,Moreno,10000.000000,BA2491A,EconomyClass
981,Genevieve,Díaz,20000.000000,BA2491A,EconomyClass
980,Brana,Hernández,10000.000000,BA2491A,EconomyClass
979,Libbey,Ruiz,42000.000000,BA2491A,EconomyClass
978,Warner,Jiménez,30000.000000,IB0800A,EconomyClass
977,Wenonah,Martín,12000.000000,IB0800A,EconomyClass
976,Arlina,Gómez,33000.000000,IB0800A,EconomyClass
975,Aleksandr,Pérez,42000.000000,IB0800A,EconomyClass
974,Herrick,Sánchez,30000.000000,IB0800A,EconomyClass
973,Guglielma,Martínez,15000.000000,IB0800A,EconomyClass
972,Sloan,López,42000.000000,IB0800A,EconomyClass
971,Mercedes,Rodríguez,12000.000000,IB0800A,EconomyClass
970,Noach,Fernández,12000.000000,IB0800A,EconomyClass
969,Charlie,González,50000.000000,IB0800A,EconomyClass
968,Berenice,San Martín,10000.000000,IB0800A,EconomyClass
967,Esme,Farías,37000.000000,BR3456J,EconomyClass
966,Karon,Mendoza,10000.000000,BR3456J,EconomyClass
965,Kirstin,Guerrero,12000.000000,BR3456J,EconomyClass
964,Ansley,Venegas,37000.000000,BR3456J,EconomyClass
963,Arley,Ortega,33000.000000,BR3456J,EconomyClass
962,Burty,Toro,12000.000000,BR3456J,EconomyClass
961,Ginnie,Bustamante,15000.000000,BR3456J,EconomyClass
960,Zitella,Poblete,42000.000000,BR3456J,EconomyClass
959,Shaughn,Donoso,15000.000000,BR3456J,EconomyClass
958,Trista,Alvarado,50000.000000,BR3456J,EconomyClass
957,Floyd,Sáez,15000.000000,MM0987B,EconomyClass
956,Sioux,Navarrete,12000.000000,MM0987B,EconomyClass
955,Delila,Carvajal,20000.000000,MM0987B,EconomyClass
954,Laetitia,Sanhueza,33000.000000,MM0987B,EconomyClass
953,Lacey,Moreno,50000.000000,MM0987B,EconomyClass
952,Edwina,Palma,42000.000000,MM0987B,EconomyClass
951,Wake,Pino,25000.000000,BR3456J,EconomyClass
950,Lonna,Medina,10000.000000,BR3456J,EconomyClass
949,Clerissa,Bustos,15000.000000,BR3456J,EconomyClass
948,Agustin,Maldonado,25000.000000,BR3456J,EconomyClass
947,Martyn,Lagos,25000.000000,BR3456J,EconomyClass
946,Kimberley,Godoy,18000.000000,BR3456J,EconomyClass
945,Cherice,Peña,15000.000000,BR3456J,EconomyClass
944,Isabeau,Zúñiga,37000.000000,BA2491A,EconomyClass
943,Loria,Salinas,25000.000000,IB0800A,EconomyClass
942,Vernen,Vidal,18000.000000,IB0800A,EconomyClass
941,Nina,Valdés,25000.000000,IB0800A,EconomyClass
940,Josefina,Ruiz,30000.000000,IB0800A,EconomyClass
939,Verina,Escobar,37000.000000,IB0800A,EconomyClass
938,Arabel,Leiva,50000.000000,IB0800A,EconomyClass
937,Randy,Yáñez,15000.000000,IB0800A,EconomyClass
936,Carolina,Cáceres,33000.000000,IB0800A,EconomyClass
935,Jillane,Vázquez,37000.000000,IB0800A,EconomyClass
934,Dorette,Vargas,37000.000000,IB0800A,EconomyClass
933,Gui,Aravena,20000.000000,IB0800A,EconomyClass
932,Debby,Romero,18000.000000,IB0800A,EconomyClass
931,Callie,Parra,10000.000000,BR3456J,EconomyClass
930,Emory,Aguilera,37000.000000,BR3456J,EconomyClass
929,Melody,Navarro,20000.000000,BR3456J,EconomyClass
928,Hayden,Saavedra,30000.000000,BR3456J,EconomyClass
927,Robinia,Henríquez,10000.000000,BR3456J,EconomyClass
926,Abbie,Guzmán,18000.000000,BR3456J,EconomyClass
925,Wittie,Salazar,37000.000000,BR3456J,ExecutiveClass
924,Orlan,Garrido,25000.000000,BR3456J,ExecutiveClass
923,Ezekiel,Ortiz,20000.000000,BR3456J,ExecutiveClass
922,Wenda,Gallardo,12000.000000,BR3456J,ExecutiveClass
921,Odie,Alarcón,20000.000000,BR3456J,ExecutiveClass
920,Gretna,Olivares,42000.000000,BR3456J,ExecutiveClass
919,Calypso,Cárdenas,12000.000000,BR3456J,ExecutiveClass
918,Alysia,Orellana,37000.000000,MM0987B,EconomyClass
917,Luis,Sandoval,12000.000000,MM0987B,EconomyClass
916,Saunder,Campos,37000.000000,MM0987B,EconomyClass
915,Tyrone,Vega,15000.000000,MM0987B,EconomyClass
914,Curry,Molina,20000.000000,MM0987B,EconomyClass
913,Anetta,Vera,10000.000000,MM0987B,EconomyClass
912,Oren,Bravo,20000.000000,MM0987B,EconomyClass
911,Maurie,Miranda,50000.000000,MM0987B,EconomyClass
910,Atlante,García,33000.000000,MM0987B,EconomyClass
909,Leo,Riquelme,42000.000000,MM0987B,EconomyClass
908,Brittany,Figueroa,18000.000000,MM0987B,EconomyClass
907,Tabb,Rivera,50000.000000,BR3456J,ExecutiveClass
906,Lynn,Vergara,37000.000000,BR3456J,ExecutiveClass
905,Freda,Jara,42000.000000,BR3456J,FirstClass
904,Josiah,Núñez,12000.000000,BR3456J,FirstClass
903,Judas,Herrera,10000.000000,BR3456J,FirstClass
902,Coral,Cortés,18000.000000,BR3456J,FirstClass
901,Shaughn,Gómez,50000.000000,BR3456J,FirstClass
900,Riccardo,Carrasco,42000.000000,BR3456J,FirstClass
899,Martelle,Ramírez,15000.000000,BR3456J,FirstClass
898,Ki,Fernández,30000.000000,BR3456J,FirstClass
897,Gabriell,Sánchez,10000.000000,FR5678G,EconomyClass
896,Oberon,Vásquez,15000.000000,FR5678G,EconomyClass
895,Frasquito,Álvarez,15000.000000,FR5678G,EconomyClass
894,Gabbie,Pizarro,42000.000000,FR5678G,EconomyClass
893,Annamarie,Castro,20000.000000,FR5678G,EconomyClass
892,Devland,Gutiérrez,10000.000000,FR5678G,EconomyClass
891,Conant,Reyes,37000.000000,FR5678G,EconomyClass
890,Madel,Tapia,12000.000000,FR5678G,EconomyClass
889,Flo,Castillo,42000.000000,FR5678G,EconomyClass
888,Katlin,Valenzuela,25000.000000,FR5678G,EconomyClass
887,Guillermo,Espinoza,42000.000000,FR5678G,EconomyClass
886,Bailey,Flores,30000.000000,FR5678G,EconomyClass
885,Jan,Araya,18000.000000,FR5678G,EconomyClass
884,Lona,Torres,30000.000000,FR5678G,EconomyClass
883,Callida,Hernández,33000.000000,FR5678G,EconomyClass
882,Rina,Fuentes,25000.000000,FR5678G,EconomyClass
881,Kenna,López,25000.000000,FR5678G,EconomyClass
880,Josi,Rodríguez,18000.000000,FR5678G,EconomyClass
879,Barbey,Morales,12000.000000,FR5678G,EconomyClass
878,Ralf,Sepúlveda,12000.000000,FR5678G,EconomyClass
877,Mac,Martínez,25000.000000,FR5678G,EconomyClass
876,Cecil,Silva,37000.000000,FR5678G,EconomyClass
875,Saw,Contreras,15000.000000,FR5678G,EconomyClass
874,Estella,Soto,20000.000000,FR5678G,EconomyClass
873,Thomasa,Pérez,18000.000000,FR5678G,EconomyClass
872,Madonna,Díaz,10000.000000,FR5678G,EconomyClass
871,Phelia,Rojas,33000.000000,FR5678G,EconomyClass
870,Pearla,Muñoz,33000.000000,FR5678G,EconomyClass
869,Malory,González,42000.000000,FR5678G,EconomyClass
868,Trumaine,Ramos,42000.000000,FR5678G,EconomyClass
867,Emmanuel,Vázquez,30000.000000,FR5678G,EconomyClass
866,Rubi,Domínguez,18000.000000,FR5678G,EconomyClass
865,Devonna,Torres,18000.000000,FR5678G,EconomyClass
864,Alonzo,Navarro,12000.000000,FR5678G,EconomyClass
863,Cherish,Gutiérrez,42000.000000,FR5678G,EconomyClass
862,Holden,Alonso,50000.000000,FR5678G,EconomyClass
861,Pietrek,Romero,25000.000000,FR5678G,EconomyClass
860,Fair,Muñoz,37000.000000,FR5678G,EconomyClass
859,Abramo,Álvarez,37000.000000,FR5678G,EconomyClass
858,Ophelie,Moreno,37000.000000,FR5678G,EconomyClass
857,Devlen,Díaz,37000.000000,FR5678G,EconomyClass
856,Henrieta,Hernández,30000.000000,FR5678G,EconomyClass
855,Vassili,Ruiz,33000.000000,FR5678G,EconomyClass
854,Levon,Jiménez,25000.000000,FR5678G,EconomyClass
853,Eve,Martín,12000.000000,FR5678G,EconomyClass
852,Giacopo,Gómez,18000.000000,FR5678G,EconomyClass
851,Sidoney,Pérez,20000.000000,FR5678G,EconomyClass
850,Amanda,Sánchez,37000.000000,FR5678G,EconomyClass
849,Gibb,Martínez,20000.000000,FR5678G,EconomyClass
848,Rasia,López,37000.000000,FR5678G,EconomyClass
847,Estella,Rodríguez,42000.000000,FR5678G,EconomyClass
846,Brendin,Fernández,10000.000000,FR5678G,EconomyClass
845,Yardley,González,50000.000000,FR5678G,EconomyClass
844,Bella,San Martín,18000.000000,FR5678G,EconomyClass
843,Grant,Farías,33000.000000,FR5678G,EconomyClass
842,Irv,Mendoza,15000.000000,FR5678G,EconomyClass
841,Shelley,Guerrero,15000.000000,FR5678G,EconomyClass
840,Wadsworth,Venegas,30000.000000,FR5678G,EconomyClass
839,Oralia,Ortega,10000.000000,FR5678G,EconomyClass
838,Hashim,Toro,50000.000000,FR5678G,EconomyClass
837,Corrina,Bustamante,50000.000000,FR5678G,EconomyClass
836,Keene,Poblete,25000.000000,FR5678G,EconomyClass
835,Adelle,Donoso,10000.000000,FR5678G,EconomyClass
834,Chad,Alvarado,15000.000000,FR5678G,EconomyClass
833,Oby,Sáez,12000.000000,FR5678G,EconomyClass
832,Olivier,Navarrete,20000.000000,FR5678G,EconomyClass
831,Christina,Carvajal,37000.000000,FR5678G,EconomyClass
830,Cale,Sanhueza,50000.000000,FR5678G,EconomyClass
829,Conan,Moreno,20000.000000,FR5678G,EconomyClass
828,Norbert,Palma,20000.000000,FR5678G,EconomyClass
827,Angeli,Pino,20000.000000,FR5678G,EconomyClass
826,Yetta,Medina,25000.000000,FR5678G,EconomyClass
825,Andrei,Bustos,10000.000000,FR5678G,EconomyClass
824,Mercie,Maldonado,42000.000000,FR5678G,EconomyClass
823,Tania,Lagos,42000.000000,FR5678G,EconomyClass
822,Jefferey,Godoy,10000.000000,FR5678G,EconomyClass
821,Trevor,Peña,10000.000000,FR5678G,EconomyClass
